# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [12.4 - 12.6]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.0048  16.6099  12.8726  18.0384 16.6099  12.8726  18.0384  3.9023   0.3360   6.5536
  0.0402  16.6253  13.6619  18.0134 16.6253  13.6619  18.0134  3.1974   1.0690   6.0016
  0.0755  16.6480  13.7096  17.9448 16.6480  13.7096  17.9448  2.8364  -0.5776   5.3712
  0.1109  16.6614  14.6211  17.8903 16.6614  14.6211  17.8903  3.4555  -0.4053   5.6831
  0.1462  16.6695  14.7093  17.8263 16.6695  14.7093  17.8263  4.4516   1.4769   7.5840
  0.1816  16.7252  14.8960  17.8086 16.7252  14.8960  17.8086  4.7616   2.9093   7.8914
  0.2169  16.7835  15.0287  17.8250 16.7835  15.0287  17.8250  4.7224   2.4920   7.8709
  0.2523  16.8177  15.2538  17.8650 16.8177  15.2538  17.8650  4.6785   2.5336   6.9827
  0.2876  16.8290  15.3595  17.8797 16.8290  15.3595  17.8797  4.5314   2.7305   7.2190
  0.3230  16.8873  15.4196  17.8672 16.8873  15.4196  17.8672  4.3170   2.8434   7.1530
  0.3583  16.9722  15.5519  17.8420 16.9722  15.5519  17.8420  4.5329   2.6623   7.6221
  0.3937  17.0674  15.7322  17.8359 17.0674  15.7322  17.8359  4.8635   2.9347   7.8567
  0.4291  17.1425  15.9018  17.8834 17.1425  15.9018  17.8834  5.0369   3.3324   8.2212
  0.4644  17.2312  16.0458  17.9378 17.2312  16.0458  17.9378  5.0901   3.6580   8.5832
  0.4998  17.2828  16.1472  17.9464 17.2828  16.1472  17.9464  5.2011   3.5074   8.1114
  0.5351  17.2862  16.2112  17.9142 17.2862  16.2112  17.9142  5.4896   3.3956   8.6449
  0.5705  17.2452  16.2565  17.8884 17.2452  16.2565  17.8884  5.7554   3.4694   8.5557
  0.6058  17.2195  16.2558  17.8626 17.2195  16.2558  17.8626  5.8513   3.6124   8.9730
  0.6412  17.1728  16.2728  17.8104 17.1728  16.2728  17.8104  5.6393   3.8412   8.3221
  0.6765  17.1587  16.2455  17.7457 17.1587  16.2455  17.7457  5.6500   3.9936   8.7801
  0.7119  17.1812  16.2056  17.6922 17.1812  16.2056  17.6922  5.8354   4.1013   9.0856
  0.7472  17.2077  16.1389  17.6500 17.2077  16.1389  17.6500  6.2687   3.9625   9.4741
  0.7826  17.1828  16.1210  17.6067 17.1828  16.1210  17.6067  6.4870   4.0827   9.4691
  0.8179  17.1315  16.0969  17.5604 17.1315  16.0969  17.5604  6.5072   3.9933   9.5155
  0.8533  17.0914  16.1053  17.4904 17.0914  16.1053  17.4904  6.3915   4.1747   9.8412
