# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [12.8 - 13.2]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  2.0907  14.3342  13.8381  14.7693 14.3286  13.8377  14.7583 11.5710  10.8215  12.5274
  2.1260  14.3956  13.7587  14.7747 14.3882  13.7580  14.7630 11.5220  10.5882  12.4499
  2.1614  14.3000  13.7513  14.7565 14.2947  13.7511  14.7491 11.5405  10.6792  12.4308
  2.1967  14.0627  13.6981  14.7592 14.0618  13.6945  14.7566 11.5803  10.7553  12.3247
  2.2321  13.9154  13.4865  14.5819 13.9140  13.4862  14.5962 11.7448  10.8623  12.4033
  2.2674  13.9475  13.1655  14.6362 13.9447  13.0386  14.5843 11.8158  11.0622  12.4828
  2.3028  14.0127  13.0244  14.8282 14.0190  12.8650  14.6820 11.8815  11.0903  12.8099
  2.3381  14.0375  13.0222  14.8251 14.0024  12.9288  14.6836 11.9589  11.1023  12.8995
  2.3735  13.9033  13.1441  14.4326 13.8709  13.1448  14.3936 12.0296  11.2587  12.7776
  2.4088  13.8001  13.1332  14.2591 13.7120  13.0079  14.2944 12.0878  11.3836  13.0484
  2.4442  13.5684  12.8257  14.1028 13.4185  12.5710  13.9864 12.1096  11.3750  13.2392
  2.4796  13.3722  12.4809  14.1028 13.0222  12.1638  13.9496 12.0282  11.4137  13.0768
  2.5149  13.2494  12.3936  14.0583 12.7460  11.7305  13.9303 12.0785  11.4947  12.7529
  2.5503  13.0976  12.3300  13.8943 12.6557  11.6146  13.8564 12.0056  11.5845  12.7747
  2.5856  13.0548  12.2863  13.7369 12.7798  11.5727  13.6088 12.0730  11.5747  12.9347
  2.6210  13.2561  12.5700  13.8571 12.9047  11.6518  13.7365 12.1662  11.5186  13.2231
  2.6563  13.2673  12.5150  14.0151 12.7149  10.7382  13.9665 12.3301  11.4120  13.2767
  2.6917  13.0251  12.3249  14.0412 12.5498   9.9533  13.6942 12.1191  11.2679  13.1867
  2.7270  12.7651  11.9272  14.0997 12.2943   8.1596  13.8490 12.0309  11.2803  12.9321
  2.7624  12.8967  11.9710  14.2786 12.1263   8.4371  13.8547 12.3443  11.5325  13.4375
  2.7977  13.1045  11.7905  14.3853 11.6039   7.6486  14.0012 12.8155  11.5404  13.7748
  2.8331  13.3827  11.9339  14.3001 11.4969   8.9312  13.7703 12.9981  11.4906  14.1395
  2.8684  12.8792  11.6703  13.9847 11.4568   8.7146  13.6020 12.5493  11.2396  13.8184
  2.9038  12.4486  11.9058  13.8690 12.0968  11.2071  13.3998 12.2697  11.5747  13.7661
  2.9392  12.3806  12.0961  13.9712 12.5664  10.4436  13.6668 12.2771  11.8519  13.7502
  2.9745  12.8441  11.6532  13.8597 12.1457   5.0964  14.1646 12.5176  11.6577  13.7925
