# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [11.4 - 11.6]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.0048  17.4593  17.1420  17.6886 17.4593  17.1420  17.6886  6.5189   3.0205   8.4977
  0.0402  17.4124  17.0429  17.6328 17.4124  17.0429  17.6328  6.5651   3.3572   8.4489
  0.0755  17.3533  16.9646  17.5831 17.3533  16.9646  17.5831  6.5608   3.7243   8.4546
  0.1109  17.2837  16.8968  17.5466 17.2837  16.8968  17.5466  6.6624   4.2305   8.5084
  0.1462  17.2171  16.8526  17.5128 17.2171  16.8526  17.5128  6.7454   4.3090   8.5806
  0.1816  17.1668  16.8014  17.4753 17.1668  16.8014  17.4753  6.7932   4.4760   8.5271
  0.2169  17.1312  16.7627  17.4364 17.1312  16.7626  17.4364  6.8869   4.6420   8.8228
  0.2523  17.0959  16.7089  17.4033 17.0958  16.7089  17.4033  7.0063   5.1708   8.9687
  0.2876  17.0601  16.6621  17.3699 17.0600  16.6621  17.3699  7.0722   5.2962   9.0975
  0.3230  17.0308  16.6264  17.3338 17.0308  16.6264  17.3338  7.0555   5.4723   8.9529
  0.3583  17.0068  16.5987  17.2907 17.0068  16.5987  17.2907  7.1052   5.4447   9.0525
  0.3937  16.9770  16.5524  17.2541 16.9770  16.5524  17.2541  7.1642   5.6751   9.0231
  0.4291  16.9359  16.5073  17.2186 16.9359  16.5073  17.2186  7.2165   5.7345   9.0583
  0.4644  16.9033  16.4714  17.1794 16.9033  16.4714  17.1794  7.2431   5.9485   9.2386
  0.4998  16.8712  16.4328  17.1277 16.8712  16.4328  17.1277  7.3239   5.9201   9.6457
  0.5351  16.8292  16.3879  17.0868 16.8292  16.3879  17.0868  7.3436   5.9936   9.8265
  0.5705  16.7810  16.3329  17.0545 16.7810  16.3329  17.0545  7.3735   6.0465   9.9051
  0.6058  16.7330  16.2462  17.0203 16.7330  16.2462  17.0203  7.4288   6.1878  10.0858
  0.6412  16.6854  16.1585  16.9763 16.6854  16.1585  16.9763  7.5019   6.1989  10.2582
  0.6765  16.6333  16.0941  16.9326 16.6333  16.0941  16.9326  7.5801   6.2330  10.1843
  0.7119  16.5829  16.0508  16.8855 16.5829  16.0508  16.8857  7.5991   6.2773  10.1917
  0.7472  16.5107  15.9653  16.8359 16.5107  15.9653  16.8352  7.7123   6.3460  10.3608
  0.7826  16.4319  15.8371  16.7874 16.4319  15.8371  16.7866  7.7965   6.4237  10.4063
  0.8179  16.3474  15.6936  16.7393 16.3474  15.6936  16.7386  7.9071   6.4437  10.4323
