# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [11.9 - 12.1]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.0048  17.6874  16.5420  18.0327 17.6874  16.5420  18.0327  6.1410   2.6313   8.5068
  0.0402  17.6576  16.5183  17.9943 17.6576  16.5183  17.9943  6.1036   3.4402   8.3858
  0.0755  17.6345  16.5343  17.9448 17.6345  16.5343  17.9448  6.0063   3.3694   8.3371
  0.1109  17.6248  16.5740  17.8922 17.6248  16.5740  17.8922  6.0085   3.4548   8.4587
  0.1462  17.6033  16.6189  17.8502 17.6033  16.6189  17.8502  6.2508   3.8954   8.5133
  0.1816  17.5540  16.5870  17.8184 17.5540  16.5870  17.8184  6.5377   4.0462   8.4715
  0.2169  17.4994  16.5913  17.8088 17.4994  16.5913  17.8088  6.6635   4.3666   8.2173
  0.2523  17.4748  16.6970  17.7999 17.4748  16.6970  17.7999  6.7038   4.5075   8.4794
  0.2876  17.4688  16.7642  17.7887 17.4688  16.7642  17.7887  6.7877   4.7811   8.8156
  0.3230  17.4603  16.8150  17.7698 17.4603  16.8150  17.7698  6.9683   4.9268   9.0525
  0.3583  17.4406  16.7968  17.7574 17.4406  16.7968  17.7574  6.9238   4.9208   9.0077
  0.3937  17.4243  16.7731  17.7331 17.4243  16.7731  17.7331  7.0363   5.0612   8.8819
  0.4291  17.4155  16.7329  17.7162 17.4155  16.7329  17.7162  7.1472   5.5634   9.1353
  0.4644  17.4091  16.7454  17.6895 17.4091  16.7454  17.6895  7.2607   5.8429   9.3839
  0.4998  17.3850  16.7496  17.6514 17.3850  16.7496  17.6514  7.2544   5.9858   9.6348
  0.5351  17.3538  16.7282  17.6043 17.3538  16.7282  17.6043  7.4098   5.7887   9.6643
  0.5705  17.3229  16.7006  17.5806 17.3229  16.7006  17.5806  7.4484   5.8934   9.8152
  0.6058  17.2955  16.6751  17.5535 17.2955  16.6751  17.5535  7.5944   6.0661  10.2070
