# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [13.2 - 13.8]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.0048  17.7639  15.5454  18.5393 17.7639  15.5454  18.5393 -3.5333  -7.1256   3.1652
  0.0402  17.7896  15.6103  18.5202 17.7896  15.6103  18.5202 -3.5753  -6.3593   4.8151
  0.0755  17.8380  15.8001  18.4892 17.8380  15.8001  18.4892 -2.4223  -4.3346   5.9771
  0.1109  17.9068  15.9760  18.4602 17.9068  15.9760  18.4602 -0.0345  -4.1940   6.9179
  0.1462  17.9606  16.1701  18.4481 17.9606  16.1701  18.4481  0.3712  -3.6612   6.6480
  0.1816  18.0049  16.3918  18.4553 18.0049  16.3918  18.4553  0.1342  -3.7935   6.4740
  0.2169  18.0190  16.6164  18.4631 18.0190  16.6164  18.4631  1.4127  -2.1695   4.6106
  0.2523  18.0299  16.7945  18.4576 18.0299  16.7945  18.4576  1.9192  -1.4969   4.4172
  0.2876  18.0304  16.9000  18.4304 18.0304  16.9000  18.4304  1.7170  -0.3559   5.0921
  0.3230  18.0176  16.9759  18.3933 18.0176  16.9759  18.3933  1.4680  -1.2329   6.7069
  0.3583  18.0128  17.0612  18.3399 18.0128  17.0612  18.3399  1.2326  -3.3076   6.3464
  0.3937  17.9951  17.1878  18.2963 17.9951  17.1878  18.2963  0.4820  -3.8802   6.8165
  0.4291  17.9614  17.2997  18.2691 17.9614  17.2997  18.2691  0.8491  -1.9725   6.7699
  0.4644  17.9088  17.3904  18.2545 17.9088  17.3904  18.2545  1.4292  -0.5130   6.9197
  0.4998  17.8604  17.4308  18.2253 17.8604  17.4308  18.2253  1.8723  -0.1604   7.6579
  0.5351  17.8060  17.4243  18.1922 17.8060  17.4243  18.1922  1.3235   0.2186   9.5251
  0.5705  17.7610  17.3982  18.1558 17.7610  17.3982  18.1558  1.8023   0.7124  11.2060
  0.6058  17.7386  17.4431  18.1201 17.7386  17.4431  18.1201  1.8793  -0.4148  11.4406
  0.6412  17.7304  17.5513  18.0880 17.7304  17.5513  18.0880  2.1419  -0.7094  11.5135
  0.6765  17.7033  17.6080  18.0435 17.7033  17.6080  18.0435  2.2040  -0.1845  11.7185
  0.7119  17.6758  17.5793  17.9731 17.6758  17.5793  17.9731  2.5598   0.8799  11.6694
  0.7472  17.6263  17.4727  17.8904 17.6263  17.4727  17.8904  2.4330   0.7214  11.6855
  0.7826  17.5955  17.4085  17.8171 17.5955  17.4085  17.8171  2.2495   0.9424  11.7857
  0.8179  17.5440  17.3657  17.7566 17.5440  17.3657  17.7566  2.4310   1.1850  11.7582
  0.8533  17.4477  17.2741  17.6791 17.4477  17.2741  17.6791  2.0413   1.2821  11.5756
  0.8886  17.3091  17.1082  17.5913 17.3091  17.1082  17.5913  2.6595   0.9012  11.7541
