# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Left Panel (TNG50-1 z=1.0)
# columns: mhalo, mass_HI, p10, p90, mass_Metal, p10, p90, mass_Mg, p10, p90, mass_MgII, p10, p90
# all masses in [log msun], p10 and p90 denote 10th and 90th percentiles of previous field

 9.94,  7.24,  6.92,  7.79,  4.92,  4.45,  5.49,  3.63,  3.19,  4.20,  3.09,  2.75,  3.70
10.39,  8.07,  7.53,  8.61,  5.98,  5.44,  6.51,  4.69,  4.15,  5.22,  4.20,  3.63,  4.78
10.84,  8.74,  8.27,  9.09,  6.98,  6.54,  7.41,  5.69,  5.25,  6.11,  5.27,  4.79,  5.71
11.28,  9.04,  8.58,  9.40,  7.77,  7.41,  8.11,  6.48,  6.12,  6.82,  6.08,  5.68,  6.47
11.70,  9.38,  8.84,  9.76,  8.39,  8.14,  8.65,  7.10,  6.84,  7.35,  6.73,  6.30,  7.06
12.18,  9.74,  9.20, 10.09,  8.83,  8.58,  9.05,  7.53,  7.28,  7.75,  7.17,  6.74,  7.45
12.61, 10.00,  9.65, 10.29,  9.17,  8.95,  9.42,  7.87,  7.64,  8.12,  7.47,  6.99,  7.70
12.97, 10.21, 10.10, 10.39,  9.56,  9.38,  9.82,  8.25,  8.07,  8.52,  7.72,  7.35,  7.88
13.58, 10.55, 10.46, 10.69, 10.21,  9.99, 10.32,  8.90,  8.68,  9.01,  7.98,  7.93,  8.07
