# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Left Panel (TNG50-1 z=0.5)
# columns: mhalo, mass_HI, p10, p90, mass_Metal, p10, p90, mass_Mg, p10, p90, mass_MgII, p10, p90
# all masses in [log msun], p10 and p90 denote 10th and 90th percentiles of previous field

 9.87,  7.17,  6.25,  7.49,  4.49,  4.16,  5.05,  3.20,  2.80,  3.75,  3.00,  1.89,  3.27
10.17,  7.75,  7.27,  8.36,  5.45,  4.86,  6.05,  4.16,  3.57,  4.75,  3.69,  3.18,  4.34
10.62,  8.50,  7.90,  9.00,  6.53,  5.99,  7.05,  5.24,  4.69,  5.75,  4.82,  4.22,  5.38
11.05,  8.95,  8.41,  9.37,  7.46,  7.07,  7.86,  6.17,  5.77,  6.56,  5.77,  5.32,  6.23
11.52,  9.22,  8.62,  9.67,  8.16,  7.86,  8.46,  6.85,  6.56,  7.15,  6.48,  6.06,  6.86
11.96,  9.64,  9.02, 10.05,  8.67,  8.32,  8.91,  7.36,  7.02,  7.61,  7.02,  6.44,  7.34
12.37,  9.93,  9.43, 10.31,  9.00,  8.64,  9.21,  7.69,  7.34,  7.91,  7.33,  6.71,  7.59
12.80, 10.22,  9.83, 10.53,  9.36,  9.10,  9.58,  8.05,  7.79,  8.27,  7.57,  7.01,  7.84
13.25, 10.45, 10.20, 10.74,  9.84,  9.80, 10.09,  8.53,  8.49,  8.78,  7.78,  7.47,  8.13
13.78, 10.61, 10.60, 11.00, 10.45, 10.41, 10.71,  9.14,  9.09,  9.40,  7.91,  7.77,  8.45
